LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-102.23187,42.01851,127,65,-999,-999
-102.04701,41.44777,126,81,-999,-999
-89.25443,35.85742,126,339,-999,-999
-89.4692,35.79748,127,334,-999,-999
-87.69178,35.70878,113,16,10,0.5
-88.79844,35.1573,79,343,20,0.5
-87.45612,35.74867,119,21,20,0.5
-88.5088,35.57657,101,355,50,0.5
-88.68105,35.71028,110,351,70,0.5
-89.03031,35.65742,111,342,90,0.5
-89.91612,32.33651,123,221,80,0.75
-89.67945,32.18664,123,214,90,0.75
-88.73215,35.32776,88,347,90,0.75
-89.34386,32.12166,118,206,100,1
-88.74388,35.32561,133,281,-999,-999
-88.51905,35.59149,126,289,-999,-999
-89.00277,35.66993,150,288,-999,-999
-88.45571,35.68963,125,292,-999,-999
-87.45883,35.73758,83,306,10,0.5
-87.69811,35.71125,92,301,20,0.5
-86.40302,36.05273,69,347,40,0.5
-79.15695,31.66703,149,61,-999,-999
-81.65629,28.16258,139,179,-999,-999
-80.49345,29.45815,88,134,10,0.5
-81.15774,28.69244,111,165,20,0.5
-86.39153,36.0596,14,70,40,0.5
-79.67189,29.86001,112,109,40,0.5
-87.45094,35.74338,41,250,50,0.5
-79.88287,29.39789,115,124,50,0.5
-79.58513,30.37165,110,93,60,0.5
-79.38274,30.85328,122,79,80,0.5
-79.30104,30.91576,137,139,-999,-999
-88.45183,35.71318,73,72,30,0.5
-87.69069,35.70363,109,78,30,0.5
-88.51874,35.59274,68,77,40,0.5
-88.66902,35.71584,63,69,60,0.5
-89.0015,35.67338,47,65,80,0.75
-88.7116,35.33942,57,90,80,0.75
-89.23496,35.86259,44,45,90,0.75
-102.23507,42.03606,128,168,-999,-999
-88.67688,35.70124,108,253,50,0.5
-88.51478,35.58702,103,248,60,0.5
-88.44023,35.70515,97,251,60,0.5
-89.00116,35.65157,124,254,90,0.5
-88.72289,35.32563,119,243,90,1
-100.68623,36.55892,156,328,-999,-999
-101.32485,35.58534,137,303,-999,-999
-99.91948,36.56829,140,341,-999,-999
-95.89834,24.97321,100,124,10,0.5
-96.27829,24.71291,95,139,80,0.5
-100.82929,35.66236,120,311,100,0.5
-101.31392,29.00349,148,197,-999,-999
-101.65175,29.07608,150,204,-999,-999
-101.75995,28.97194,158,205,-999,-999
-87.69097,35.70534,97,147,20,0.5
-88.44793,35.70783,83,169,40,0.5
-88.51611,35.5803,90,172,50,0.5
-89.40884,35.78198,83,202,60,0.5
-89.01393,35.66299,85,188,90,0.5
-88.73504,35.33247,104,179,90,0.75
-89.22755,35.85422,76,197,90,0.75
-101.52324,39.247,144,102,-999,-999
-101.5421,39.41965,141,98,-999,-999
-101.60437,39.54947,137,95,-999,-999
-101.60268,39.0909,143,106,-999,-999
-80.54979,22.17844,158,156,-999,-999
-80.9677,26.63046,128,18,-999,-999
-102.03739,41.43592,125,353,-999,-999
-101.59676,39.58637,14,20,10,0.5
-101.23982,39.89152,38,34,50,0.5
-101.52369,39.46253,10,55,60,0.5
-101.27403,39.41265,20,82,60,0.5
-101.33865,40.39748,64,15,80,0.5
-101.52204,39.2736,10,124,90,1
-101.57163,39.11949,16,158,100,1.25
-100.81054,35.67788,131,22,-999,-999
-84.90057,30.62275,53,86,30,0.5
-104.07757,29.7405,164,217,-999,-999
-104.47468,30.82907,135,241,-999,-999
-101.71102,28.94688,181,172,-999,-999
-101.29943,29.0183,181,165,-999,-999
-90.96352,27.37657,187,199,-999,-999
-90.64954,27.58989,170,195,-999,-999
-90.82114,27.59913,172,198,-999,-999
-90.72718,28.13546,140,200,-999,-999
-90.39206,27.96557,145,192,-999,-999
-89.90105,32.19,111,358,30,0.5
-89.90805,32.35697,121,358,70,0.5
-89.6716,32.20321,112,4,90,0.75
-89.33502,32.14271,111,13,100,1.5
-100.8793,29.37366,32,281,10,0.5
-101.67039,29.07236,74,261,100,1
-101.29935,29.06241,55,257,100,2
-101.74284,28.96808,79,257,100,2.25
-102.04455,28.32327,109,239,100,2.25
-101.25121,39.8684,129,194,-999,-999
-101.40317,39.72639,139,196,-999,-999
-101.06043,39.83816,129,190,-999,-999
-102.13982,41.98809,70,272,20,0.5
-102.02838,41.77666,66,261,50,0.5
-102.02483,41.89214,65,267,50,0.5
-101.32186,40.38852,100,200,80,0.5
-102.02645,41.53055,70,249,90,0.5
-101.61264,39.56745,133,325,-999,-999
-101.54921,39.43779,125,324,-999,-999
-102.2815,35.98502,154,227,-999,-999
-101.06276,39.84441,135,338,-999,-999
-101.24913,39.87118,140,335,-999,-999
-101.49228,39.71063,137,329,-999,-999
-101.2866,35.64175,142,207,-999,-999
-100.79676,35.67864,131,198,-999,-999
-100.39102,36.57328,74,196,80,0.5
-101.53511,39.25477,116,321,100,0.75
-99.89211,36.57788,71,177,100,0.75
-100.71116,36.58409,79,207,100,1
-101.58971,39.10439,111,317,100,1
-89.33169,32.12913,144,245,-999,-999
-101.55393,39.09577,129,72,-999,-999
-101.51422,39.26733,134,68,-999,-999
-101.4927,39.44601,139,64,-999,-999
-87.45094,35.74338,41,250,50,0.5
-86.37041,36.06114,15,71,70,0.5
-88.72089,35.34852,177,79,-999,-999
-88.99337,35.65906,168,72,-999,-999
-90.62093,35.5381,91,62,10,0.5
-89.90906,32.35742,132,320,-999,-999
-89.90052,32.18328,124,317,40,0.5
-90.35525,31.28723,115,289,60,0.5
-89.65478,32.21136,117,322,80,0.75
-89.32171,32.14768,104,328,100,1.5
-81.67301,28.14485,48,69,10,0.5
-100.83535,35.68006,146,245,-999,-999
-100.72919,36.56586,126,266,-999,-999
-101.02609,36.45966,141,264,-999,-999
-99.89816,36.57781,86,264,90,0.5
-84.89882,30.61982,58,150,40,0.5
-79.30117,30.94847,191,88,-999,-999
-84.91004,30.61461,100,261,20,0.5
-81.40206,29.78986,106,128,30,0.5
-86.36831,36.06347,60,132,10,0.5
-87.68981,35.72051,64,198,10,0.5
-87.43225,35.75963,59,187,20,0.5
-88.5049,35.58448,91,221,20,0.5
-89.00039,35.6699,105,233,80,0.5
-88.67574,35.7434,90,229,80,0.5
-89.24082,35.87462,108,242,90,0.5
-88.7121,35.33471,109,220,80,0.75
-88.98314,35.66524,149,288,-999,-999
-88.72379,35.32286,132,281,-999,-999
-88.49957,35.58644,125,289,-999,-999
-88.4396,35.72359,125,293,-999,-999
-86.37454,36.04083,68,348,10,0.5
-87.44152,35.75721,83,307,10,0.5
-89.26195,35.87296,127,339,-999,-999
-88.51062,35.5932,102,355,40,0.5
-87.44112,35.77974,121,21,50,0.5
-89.89077,32.36205,121,221,70,0.5
-88.68759,35.74325,112,351,70,0.5
-88.99261,35.66735,111,343,80,0.5
-89.66868,32.20061,122,214,90,0.75
-88.70595,35.34972,89,348,90,0.75
-89.33544,32.13675,117,206,100,1.25
-89.65854,32.21572,17,103,80,0.75
-89.33632,32.14099,34,104,100,1.25
-79.28857,30.90297,138,139,-999,-999
-100.8569,35.65419,149,65,-999,-999
-101.3068,35.57472,127,63,-999,-999
-102.43649,35.88819,53,318,30,0.5
-99.89293,36.58552,120,47,90,0.5
-101.27969,35.63532,32,41,100,0.5
-100.77941,35.68504,53,59,100,0.75
-100.70737,36.57371,94,31,100,0.75
-102.17025,42.03829,130,65,-999,-999
-102.03158,41.48648,127,80,-999,-999
